,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
71,TC191012,Gwyneth,A,2,1910-09-25 12:00:00,1910-09-25 18:00:00,1910-09-23 00:00:00,1910-09-23 00:00:00,1910-09-20 18:00:00,990.98,-60.72,27.57,990.98,-60.72,27.57,1008.35,-48.85,46.74,1008.25,-43.25,47.5,1008.19,-51.86,15.58
72,TC191013,Ian,A,1,1910-09-27 12:00:00,1910-09-28 00:00:00,1910-09-27 06:00:00,1910-09-27 06:00:00,1910-09-23 06:00:00,987.43,-80.05,32.9,987.43,-80.05,32.9,993.47,-79.19,34.26,995.21,-75.44,37.16,1000.91,-78.99,19.29
73,TC191014,Jessica,A,-1,,,1910-10-02 06:00:00,1910-10-02 06:00:00,1910-09-27 06:00:00,974.69,-81.07,15.3,974.69,-81.07,15.3,,,,,,,1002.09,-44.87,9.97
74,TC191016,Lorraine,A,1,1910-10-20 06:00:00,1910-10-20 12:00:00,1910-10-16 06:00:00,1910-10-16 06:00:00,1910-10-11 00:00:00,950.15,-38.38,27.99,950.15,-38.38,27.99,983.08,-31.86,49.71,986.55,-26.53,51.93,1000.93,-33.4,30.84
75,TC191017,Manfred,A,-1,,,1910-12-23 18:00:00,1910-12-23 18:00:00,1910-12-16 18:00:00,982.57,-13.02,41.7,982.57,-13.02,41.7,,,,,,,992.46,-17.03,25.71
76,TC191101,Oxlip,A,0,1911-09-22 00:00:00,,1911-09-21 00:00:00,1911-09-21 00:00:00,1911-09-12 06:00:00,952.43,-53.54,34.37,952.43,-53.54,34.37,971.46,-49.62,39.95,,,,1007.14,-26.67,13.69
77,TC191102,Romeo,A,0,1911-09-23 00:00:00,,1911-09-28 00:00:00,1911-09-22 12:00:00,1911-09-17 00:00:00,956.9,-33.47,45.57,990.13,-76.83,27.59,980.95,-72.7,30.69,,,,1006.73,-79.02,11.09
78,TC191201,Sofiee,A,-1,,,1912-01-23 18:00:00,1912-01-23 18:00:00,1912-01-21 00:00:00,973.33,-31.14,32.9,973.33,-31.14,32.9,,,,,,,984.07,-33.35,35.45
79,TC191202,Travis,A,-1,,,1912-02-16 00:00:00,1912-02-16 00:00:00,1912-02-15 06:00:00,945.75,-37.98,49.09,945.75,-37.98,49.09,,,,,,,947.31,-44.6,44.36
80,TC191204,Angela,A,2,1912-07-14 06:00:00,1912-07-14 12:00:00,1912-07-14 06:00:00,1912-07-14 00:00:00,1912-07-12 00:00:00,996.07,-61.57,43.97,997.7,-64.33,41.6,996.07,-61.57,43.97,998.45,-58.34,46.49,1004.69,-70.67,35.43
81,TC191206,Corliss,A,1,1912-09-10 06:00:00,1912-09-13 00:00:00,1912-09-13 12:00:00,1912-09-08 12:00:00,1912-09-06 00:00:00,988.73,-36.0,50.75,999.3,-64.69,28.05,1001.99,-62.37,32.84,990.74,-42.25,49.0,1013.22,-62.7,23.25
82,TC191207,Derrick,A,0,1912-09-18 18:00:00,,1912-09-20 00:00:00,1912-09-15 06:00:00,1912-09-08 12:00:00,989.15,-29.04,48.65,994.73,-40.29,32.77,998.27,-35.75,38.71,,,,1006.97,-17.5,17.85
83,TC191210,Ivanka,A,0,1912-12-15 00:00:00,,1912-12-13 18:00:00,1912-12-13 18:00:00,1912-12-11 12:00:00,955.46,-48.69,29.52,955.46,-48.69,29.52,961.14,-46.49,43.85,,,,990.49,-53.44,24.56
84,TC191301,Justin,A,0,1913-03-31 06:00:00,,1913-03-28 18:00:00,1913-03-28 18:00:00,1913-03-28 06:00:00,997.58,-38.04,39.24,997.58,-38.04,39.24,1007.77,-40.5,40.0,,,,998.34,-39.03,37.15
85,TC191302,Kyan,A,-1,,,1913-07-20 18:00:00,1913-07-20 18:00:00,1913-07-09 18:00:00,955.63,-95.78,26.75,955.63,-95.78,26.75,,,,,,,1008.64,-31.84,10.75
86,TC191304,Melody,A,1,1913-09-05 18:00:00,1913-09-08 18:00:00,1913-09-01 18:00:00,1913-09-01 18:00:00,1913-08-25 00:00:00,894.09,-66.8,20.87,894.09,-66.8,20.87,932.19,-71.04,31.75,968.71,-51.01,50.86,1008.81,-30.72,12.24
87,TC191305,Oscar,A,-1,,,1913-09-07 18:00:00,1913-09-07 18:00:00,1913-09-04 06:00:00,997.33,-51.88,40.56,997.33,-51.88,40.56,,,,,,,1010.29,-59.14,24.98
88,TC191307,Savio,A,1,1913-10-25 06:00:00,1913-10-27 12:00:00,1913-10-26 06:00:00,1913-10-25 00:00:00,1913-10-20 12:00:00,962.41,-65.46,37.21,984.31,-69.18,27.43,982.05,-68.27,28.89,975.88,-57.78,45.86,1006.27,-52.83,14.38
89,TC191308,Torie,A,1,1913-11-13 12:00:00,1913-11-13 18:00:00,1913-11-15 12:00:00,1913-11-08 06:00:00,1913-11-07 12:00:00,965.86,-15.5,54.75,995.38,-22.61,35.52,996.32,-33.75,46.5,994.35,-32.0,46.75,997.57,-21.16,36.22
90,TC191309,Yoshi,A,2,1913-11-19 18:00:00,1913-11-20 00:00:00,1913-11-18 00:00:00,1913-11-18 00:00:00,1913-11-12 06:00:00,966.64,-33.4,40.26,966.64,-33.4,40.26,984.46,-18.11,39.45,987.29,-14.25,40.58,998.16,-51.88,40.56
91,TC191402,Cole,A,2,1914-04-22 12:00:00,1914-04-23 06:00:00,1914-04-26 00:00:00,1914-04-19 06:00:00,1914-04-19 00:00:00,983.37,-1.75,55.75,993.74,-38.36,36.92,998.94,-29.79,35.37,998.28,-26.61,35.14,995.13,-38.78,37.76
92,TC191403,Doris,A,-1,,,1914-07-29 00:00:00,1914-07-29 00:00:00,1914-07-26 00:00:00,973.58,-93.92,29.34,973.58,-93.92,29.34,,,,,,,1010.05,-83.24,22.34
93,TC191404,Facundo,A,-1,,,1914-08-01 12:00:00,1914-08-01 12:00:00,1914-07-27 18:00:00,944.71,-88.8,24.39,944.71,-88.8,24.39,,,,,,,1008.74,-56.16,13.89
94,TC191405,Gianna,A,1,1914-08-23 18:00:00,1914-08-24 06:00:00,1914-08-20 12:00:00,1914-08-20 12:00:00,1914-08-12 06:00:00,959.3,-94.54,28.65,959.3,-94.54,28.65,1001.43,-93.03,37.77,998.79,-87.99,40.32,1006.07,-77.05,15.66
