,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
30,TC211502,Jessica,A,3,2115-10-31 00:00:00,2115-10-31 00:00:00,2115-10-25 18:00:00,2115-10-25 18:00:00,2115-10-26 00:00:00,994.35,-18.21,39.89,994.35,-18.21,39.89,1002.02,-19.5,34.25,1002.02,-19.5,34.25,996.22,-19.22,38.61
31,TC211503,Kyle,A,1,2115-12-12 06:00:00,2115-12-12 12:00:00,2115-12-08 06:00:00,2115-12-08 06:00:00,2115-12-03 06:00:00,962.97,-56.8,35.5,962.97,-56.8,35.5,990.05,-46.73,44.22,990.27,-41.24,46.11,1002.28,-58.25,25.62
32,TC211605,Travis,A,1,2116-11-27 06:00:00,2116-11-28 00:00:00,2116-11-25 06:00:00,2116-11-25 06:00:00,2116-11-21 18:00:00,978.89,-59.9,37.53,978.89,-59.9,37.53,990.06,-59.01,32.97,994.9,-53.74,31.62,992.69,-61.82,38.62
33,TC211606,Yan,A,1,2116-12-04 18:00:00,2116-12-06 00:00:00,2116-11-30 18:00:00,2116-11-30 18:00:00,2116-11-27 00:00:00,944.73,-31.01,37.59,944.73,-31.01,37.59,976.27,-20.89,39.81,977.52,-2.56,46.87,980.71,-40.29,40.16
34,TC211706,Ivanka,A,1,2117-02-21 06:00:00,2117-02-22 12:00:00,2117-02-19 06:00:00,2117-02-19 06:00:00,2117-02-18 18:00:00,953.71,-39.12,39.92,953.71,-39.12,39.92,972.15,-39.24,34.62,990.34,-29.0,32.25,954.85,-40.25,38.12
35,TC211707,Justin,A,1,2117-03-03 12:00:00,2117-03-05 12:00:00,2117-03-04 06:00:00,2117-03-02 00:00:00,2117-03-01 18:00:00,967.34,-35.89,36.81,971.42,-56.67,35.32,977.28,-44.83,32.24,973.71,-17.37,41.96,972.17,-57.38,36.33
36,TC211803,Oscar,A,1,2118-06-14 12:00:00,2118-06-15 12:00:00,2118-06-10 18:00:00,2118-06-10 18:00:00,2118-06-07 12:00:00,992.24,-67.27,33.5,992.24,-67.27,33.5,1009.79,-48.61,44.92,1013.34,-38.75,46.5,1010.38,-80.97,33.91
37,TC211804,Rachel,A,1,2118-08-16 18:00:00,2118-08-17 00:00:00,2118-08-14 12:00:00,2118-08-14 12:00:00,2118-08-09 12:00:00,872.72,-93.81,27.86,872.72,-93.81,27.86,996.93,-95.87,41.87,997.64,-94.51,42.59,1009.71,-56.74,18.45
38,TC212005,Kelechi,A,1,2120-09-08 06:00:00,2120-09-09 00:00:00,2120-09-04 18:00:00,2120-09-04 18:00:00,2120-08-31 00:00:00,974.96,-91.02,28.07,974.96,-91.02,28.07,993.08,-77.4,41.04,993.69,-70.75,46.0,1005.09,-94.12,22.3
39,TC212101,Ruben,A,1,2121-02-07 00:00:00,2121-02-08 06:00:00,2121-02-07 12:00:00,2121-02-06 18:00:00,2121-02-05 06:00:00,978.31,-45.29,41.52,984.77,-39.56,41.3,984.04,-40.7,42.31,981.74,-39.0,41.11,987.25,-38.83,31.69
