,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
32,TC193308,Maho,B,2,1933-09-22 18:00:00,1933-09-23 12:00:00,1933-09-21 12:00:00,1933-09-21 12:00:00,1933-09-14 12:00:00,976.77,-50.63,28.34,976.77,-50.63,28.34,987.45,-35.69,41.95,1002.16,-25.0,49.5,1006.51,-16.23,15.32
33,TC193403,Tiffany,B,1,1934-08-17 12:00:00,1934-08-18 06:00:00,1934-08-14 18:00:00,1934-08-14 18:00:00,1934-08-10 00:00:00,958.05,-62.9,27.91,958.05,-62.9,27.91,991.78,-59.91,47.6,994.97,-47.01,51.6,1008.12,-45.67,15.17
34,TC193703,John,B,1,1937-08-14 06:00:00,1937-08-17 12:00:00,1937-08-12 12:00:00,1937-08-12 12:00:00,1937-08-06 00:00:00,931.21,-70.1,30.91,931.21,-70.1,30.91,934.3,-55.65,37.91,997.08,-29.05,49.79,1013.04,-49.98,14.82
35,TC193712,Aidan,B,1,1937-12-21 12:00:00,1937-12-22 00:00:00,1937-12-18 06:00:00,1937-12-18 06:00:00,1937-12-16 12:00:00,981.91,-35.72,30.37,981.91,-35.72,30.37,992.81,-36.04,42.08,990.99,-30.9,47.79,1005.44,-39.09,22.82
36,TC193902,Carmen,B,3,1939-05-24 18:00:00,1939-05-24 18:00:00,1939-05-21 06:00:00,1939-05-21 06:00:00,1939-05-18 00:00:00,981.92,-44.59,36.27,981.92,-44.59,36.27,1001.42,-22.0,42.5,1001.42,-22.0,42.5,1004.37,-54.98,28.07
37,TC193906,Hazel,B,1,1939-09-18 12:00:00,1939-09-22 12:00:00,1939-09-19 00:00:00,1939-09-16 18:00:00,1939-09-07 18:00:00,925.93,-58.44,30.46,934.71,-62.75,26.24,936.85,-61.18,29.31,960.29,-42.86,51.48,1007.42,-13.11,11.45
38,TC194002,Wilson,B,1,1940-05-20 06:00:00,1940-05-23 00:00:00,1940-05-20 06:00:00,1940-05-20 00:00:00,1940-05-16 00:00:00,953.26,-79.14,27.07,955.98,-79.15,25.85,953.26,-79.14,27.07,971.34,-66.82,43.73,1005.72,-87.05,20.6
39,TC194005,Carlos,B,1,1940-08-27 00:00:00,1940-08-29 12:00:00,1940-08-26 00:00:00,1940-08-26 00:00:00,1940-08-17 12:00:00,936.32,-76.63,33.45,936.32,-76.63,33.45,967.45,-73.68,37.6,965.41,-39.81,52.39,1010.59,-55.54,15.9
40,TC194007,Frederick,B,1,1940-09-11 18:00:00,1940-09-13 06:00:00,1940-09-09 06:00:00,1940-09-09 06:00:00,1940-09-04 06:00:00,930.6,-61.75,27.65,930.6,-61.75,27.65,942.97,-55.26,38.45,970.42,-50.35,48.25,1007.72,-52.7,18.78
41,TC194008,Gwyneth,B,1,1940-09-17 18:00:00,1940-09-20 18:00:00,1940-09-15 18:00:00,1940-09-15 18:00:00,1940-09-12 12:00:00,930.27,-73.56,23.68,930.27,-73.56,23.68,937.51,-71.59,31.15,971.81,-49.3,47.75,1004.6,-63.48,18.22
42,TC194010,Jessica,B,1,1940-09-30 18:00:00,1940-10-04 12:00:00,1940-10-03 00:00:00,1940-09-30 12:00:00,1940-09-27 06:00:00,949.97,-67.18,31.09,968.44,-84.39,23.79,977.65,-84.1,23.77,990.69,-54.49,48.27,1004.83,-83.15,13.7
43,TC194113,Justin,B,1,1941-10-10 12:00:00,1941-10-11 00:00:00,1941-10-08 00:00:00,1941-10-08 00:00:00,1941-09-29 06:00:00,943.07,-54.23,38.49,943.07,-54.23,38.49,983.56,-24.88,49.59,993.75,-17.24,49.71,1008.2,-64.37,30.0
44,TC194202,Melody,B,1,1942-08-15 00:00:00,1942-08-17 00:00:00,1942-08-14 18:00:00,1942-08-14 18:00:00,1942-08-01 12:00:00,985.89,-64.92,36.19,985.89,-64.92,36.19,989.95,-62.86,37.24,996.97,-35.04,42.79,1010.16,-26.94,11.29
45,TC194203,Oscar,B,1,1942-08-26 18:00:00,1942-08-29 00:00:00,1942-08-26 00:00:00,1942-08-26 00:00:00,1942-08-17 12:00:00,948.95,-53.37,36.11,948.95,-53.37,36.11,961.57,-48.84,39.19,988.62,-25.76,50.19,1008.9,-31.61,10.06
46,TC194407,Olivia,B,1,1944-09-06 06:00:00,1944-09-08 12:00:00,1944-09-07 06:00:00,1944-09-04 18:00:00,1944-08-30 12:00:00,977.64,-56.99,42.19,987.81,-61.55,27.76,990.58,-62.44,36.08,999.84,-40.6,44.02,1009.49,-45.35,13.6
47,TC194703,Mario,B,1,1947-08-26 12:00:00,1947-08-27 12:00:00,1947-08-23 18:00:00,1947-08-23 18:00:00,1947-08-13 12:00:00,925.03,-68.07,27.86,925.03,-68.07,27.86,947.52,-70.4,40.0,995.35,-65.42,47.57,1012.15,-25.18,8.41
48,TC194704,Nicole,B,1,1947-08-23 18:00:00,1947-08-24 00:00:00,1947-08-22 00:00:00,1947-08-22 00:00:00,1947-08-17 12:00:00,974.97,-67.35,39.42,974.97,-67.35,39.42,999.59,-55.63,47.45,1002.94,-52.17,49.76,1007.68,-77.67,34.92
49,TC194706,Song,B,1,1947-10-11 12:00:00,1947-10-14 12:00:00,1947-10-12 06:00:00,1947-10-11 06:00:00,1947-10-03 18:00:00,926.88,-65.59,35.34,930.7,-70.9,34.11,930.38,-69.69,33.92,963.87,-58.98,46.25,1007.33,-75.03,28.19
50,TC195006,Ana,B,1,1950-09-04 18:00:00,1950-09-05 06:00:00,1950-08-28 06:00:00,1950-08-28 06:00:00,1950-08-17 12:00:00,945.4,-66.0,30.87,945.4,-66.0,30.87,988.87,-52.45,46.48,988.16,-46.11,50.49,1008.94,-26.63,11.64
51,TC195205,Greta,B,1,1952-09-13 12:00:00,1952-09-15 18:00:00,1952-09-13 18:00:00,1952-09-08 06:00:00,1952-08-31 12:00:00,941.02,-68.34,37.71,941.7,-67.45,17.62,944.84,-69.83,36.6,977.04,-56.04,46.94,1011.85,-31.62,9.48
52,TC195210,Manuel,B,1,1952-11-11 12:00:00,1952-11-17 06:00:00,1952-11-11 06:00:00,1952-11-11 06:00:00,1952-11-07 12:00:00,968.65,-73.36,16.7,968.65,-73.36,16.7,978.04,-71.78,17.5,1004.78,-39.25,24.0,1002.33,-83.09,12.9
53,TC195404,Wilson,B,1,1954-10-05 18:00:00,1954-10-07 12:00:00,1954-09-27 06:00:00,1954-09-27 06:00:00,1954-09-24 12:00:00,983.79,-30.78,18.61,983.79,-30.78,18.61,997.24,-49.07,39.55,989.33,-26.07,44.1,1007.33,-18.25,13.26
54,TC195502,Daisy,B,3,1955-06-24 06:00:00,1955-06-24 06:00:00,1955-06-20 12:00:00,1955-06-20 12:00:00,1955-06-11 18:00:00,907.21,-87.31,29.85,907.21,-87.31,29.85,988.04,-65.41,44.01,988.04,-65.41,44.01,1008.79,-83.51,15.14
55,TC195511,Romeo,B,1,1955-09-29 00:00:00,1955-09-29 12:00:00,1955-09-25 12:00:00,1955-09-25 12:00:00,1955-09-21 18:00:00,974.73,-26.86,22.55,974.73,-26.86,22.55,997.33,-26.84,33.19,991.81,-24.0,36.25,1002.63,-14.02,12.63
56,TC195609,Kyan,B,1,1956-09-25 12:00:00,1956-09-26 06:00:00,1956-09-21 12:00:00,1956-09-21 12:00:00,1956-09-12 12:00:00,914.51,-60.07,23.57,914.51,-60.07,23.57,940.21,-67.9,40.04,959.63,-59.72,47.05,1009.73,-28.34,13.44
57,TC195804,Toby,B,1,1958-09-12 18:00:00,1958-09-15 06:00:00,1958-09-12 06:00:00,1958-09-12 06:00:00,1958-08-31 00:00:00,930.78,-50.49,33.13,930.78,-50.49,33.13,938.28,-49.15,37.11,975.92,-34.35,45.74,1009.17,-14.41,11.78
58,TC195809,Dylan,B,1,1958-11-14 12:00:00,1958-11-17 06:00:00,1958-11-11 18:00:00,1958-11-11 18:00:00,1958-11-04 12:00:00,946.07,-47.22,29.52,946.07,-47.22,29.52,954.39,-53.01,33.53,988.41,-27.92,46.08,1009.38,-44.28,27.43
59,TC195905,Kiley,B,2,1959-08-17 18:00:00,1959-08-18 06:00:00,1959-08-13 00:00:00,1959-08-13 00:00:00,1959-08-06 00:00:00,913.5,-64.42,24.42,913.5,-64.42,24.42,1002.56,-75.84,44.46,998.99,-70.05,47.9,1010.27,-30.91,13.16
60,TC195907,Michelle,B,3,1959-09-02 00:00:00,1959-09-02 00:00:00,1959-08-30 18:00:00,1959-08-30 18:00:00,1959-08-19 18:00:00,922.91,-73.28,33.54,922.91,-73.28,33.54,979.67,-64.42,45.75,979.67,-64.42,45.75,1008.15,-41.19,13.09
