,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
40,TC217204,Dominic,C,1,2172-09-13 12:00:00,2172-09-14 18:00:00,2172-09-11 00:00:00,2172-09-11 00:00:00,2172-09-02 12:00:00,959.77,-68.56,27.56,959.77,-68.56,27.56,970.16,-61.12,40.45,994.62,-40.63,46.44,1008.82,-25.89,10.42
41,TC217206,Gabriel,C,3,2172-10-29 06:00:00,2172-10-29 06:00:00,2172-10-27 12:00:00,2172-10-27 12:00:00,2172-10-22 12:00:00,924.53,-51.87,38.11,924.53,-51.87,38.11,971.0,-55.94,47.8,971.0,-55.94,47.8,1011.05,-58.7,35.26
42,TC217506,Carson,C,2,2175-09-15 06:00:00,2175-09-15 12:00:00,2175-09-12 18:00:00,2175-09-12 18:00:00,2175-08-28 12:00:00,953.56,-44.4,38.25,953.56,-44.4,38.25,994.72,-30.97,49.62,998.93,-27.17,50.76,1004.95,-14.78,15.39
43,TC217509,Greta,C,1,2175-10-14 12:00:00,2175-10-17 18:00:00,2175-10-18 12:00:00,2175-10-14 06:00:00,2175-10-09 00:00:00,963.39,-36.51,49.13,982.44,-76.02,31.0,986.86,-75.74,31.88,978.28,-48.45,39.32,1008.19,-80.26,12.38
44,TC217904,Hazel,C,1,2179-07-05 06:00:00,2179-07-05 18:00:00,2179-07-03 12:00:00,2179-07-03 12:00:00,2179-06-26 00:00:00,965.55,-68.83,38.61,965.55,-68.83,38.61,981.05,-54.52,43.71,981.04,-46.58,46.36,1016.88,-80.99,28.95
45,TC218001,Kelly,C,1,2180-08-27 18:00:00,2180-09-01 18:00:00,2180-08-27 18:00:00,2180-08-27 12:00:00,2180-08-21 12:00:00,941.46,-54.18,35.78,962.81,-55.24,34.72,941.46,-54.18,35.78,978.76,-17.96,44.38,1007.0,-34.42,15.2
46,TC218103,Rosalina,C,2,2181-05-22 06:00:00,2181-05-22 12:00:00,2181-05-16 06:00:00,2181-05-16 06:00:00,2181-05-13 00:00:00,955.89,-88.0,29.5,955.89,-88.0,29.5,1002.55,-63.87,39.79,1003.53,-62.75,41.5,1004.48,-97.26,25.28
47,TC218206,Kyle,C,1,2182-09-19 06:00:00,2182-09-20 18:00:00,2182-09-18 12:00:00,2182-09-18 12:00:00,2182-09-10 00:00:00,955.79,-66.37,32.71,955.79,-66.37,32.71,979.64,-66.49,37.16,996.94,-53.5,45.7,1008.69,-34.21,10.95
48,TC218307,Yan,C,2,2183-11-08 00:00:00,2183-11-08 06:00:00,2183-11-01 12:00:00,2183-11-01 12:00:00,2183-10-28 00:00:00,956.58,-65.06,37.66,956.58,-65.06,37.66,1002.8,-34.02,45.09,1000.15,-33.37,47.6,1003.89,-70.35,28.26
49,TC218705,Jaime,C,1,2187-11-11 12:00:00,2187-11-12 06:00:00,2187-11-11 00:00:00,2187-11-11 00:00:00,2187-11-06 06:00:00,945.32,-61.25,36.9,945.32,-61.25,36.9,954.19,-56.49,41.55,982.83,-42.47,47.53,1009.21,-63.84,26.1
50,TC219002,Kiley,C,1,2190-09-03 12:00:00,2190-09-06 00:00:00,2190-09-04 18:00:00,2190-09-01 18:00:00,2190-08-25 12:00:00,935.09,-60.45,39.01,943.75,-68.79,26.52,942.4,-70.89,33.19,939.94,-42.18,50.54,1011.57,-29.72,16.73
51,TC219007,Sergio,C,1,2190-11-17 12:00:00,2190-11-20 12:00:00,2190-11-13 12:00:00,2190-11-13 12:00:00,2190-11-04 00:00:00,900.04,-85.66,19.61,900.04,-85.66,19.61,920.27,-80.08,21.68,981.25,-49.3,41.08,1008.27,-78.43,15.54
52,TC219008,Tess,C,1,2190-11-17 06:00:00,2190-11-18 12:00:00,2190-11-13 06:00:00,2190-11-13 06:00:00,2190-11-06 18:00:00,945.86,-57.77,33.12,945.86,-57.77,33.12,978.43,-56.9,37.77,967.2,-29.04,51.12,1005.86,-65.42,19.69
53,TC219102,Alex,C,1,2191-09-09 12:00:00,2191-09-11 00:00:00,2191-09-09 18:00:00,2191-09-09 06:00:00,2191-08-28 12:00:00,920.35,-56.99,42.19,928.44,-61.1,38.09,926.25,-59.21,40.19,984.72,-40.68,50.61,1006.19,-26.35,13.81
54,TC219103,Beatrice,C,1,2191-09-14 00:00:00,2191-09-16 12:00:00,2191-09-14 06:00:00,2191-09-13 18:00:00,2191-09-08 12:00:00,953.21,-58.58,34.69,962.29,-60.39,31.46,964.1,-59.53,33.14,1000.29,-35.5,44.25,1011.01,-40.97,13.41
